A level	상급학년시험
American Indian	아메리카토인
American aloe	용설란
American cloth	광택있는 유포
American dream	아메리카의 꿈
American eagle	흰머리수리/미국의 문장
American football	미식축구
Americana	아메리카지/아메리카의 풍물/아메리카에 관한 문헌
Americanist	친미주의/미국 기질/미국 특유의 말
Americanization	미국화/미국 귀화
Americanize	아메리카화하다/미국식으로 하다/미국에 귀화시키다
Americanologist	미국 정치통/미국 정책 연구가
Americanophile	친미파의 사람
Americanophobia	미국을 싫어함
Amerika	파쇼적 미국/인종 차별 사회인 미국
Amerind	아메리카 원주민
Amerindian	아메리카 원주민
Amhara	암하라
Amharic	암하라 말
Amish	아미시
Amitabha	아미타/불교에서 쓰는 용어
Amman	암만
Ammon	아몬
Amos	아모스
Amoy	아모이
Amphibia	양서류
Amphipod	단각목의
Amphitrite	암피트리테/바다의 여신
Amphitryon	접대역/주인역/암피트리온
Amsterdam	네델란드의 수도
Amtrak	앰트랙
Amytal	아미탈
Anacreon	그리스의 서정 시인
Anacreontic	아나크레온풍의 시
Ananias	아나니아/거짓말장이
Anatolia	아나톨리아/옛날의 소아시아/현재의 아시아 터키
Anatolian	아나톨리아의/아나톨리아 사람/아나톨리아 사람의
Anchises	안키세스
Andalusian	안달루시아
Andorra	안도라
Andrew	안드레/남자 이름
Androcles	안드로클레스
Andromache	안드로마케
Andromeda	안드로메다자리/이디오피아 자리/바다괴물의 산 제물이 될 뻔한 것을 구조된 이디오피아 공주
Angela	여자 이름
Angeleno	로스앤젤레스 주민
Angelina	여자 이름
Angilles	앤틸리스 열도
Angkor	앙코르
Anglian	앵글어/앵글사람/앵글로족의
Anglic	앵글릭스
Anglican	성공회의/영국 국교회의
Anglice	영어로는
Anglicise	영국식으로 하다
Anglicism	영국풍
Anglicization	영국식
Anglicize	영국화하다/영어화하다
Anglistics	영어학
AngloAmerican	영미의/영국계미국인의
AngloCatholic	영국 국교회 카톨릭파
AngloCatholicism	영국국교회카톨릭주의
AngloIndian	인도 영어의/영국 혼혈아의/영국과 인도의/인도 거주 영국 사람의
AngloIrish	아일랜드 영어/잉글랜드와 아일랜드의/영국계 아일랜드 사람
AngloNorman	노르만 사람의/앵글로노르만어
AngloSaxon	앵글로색슨의/앵글로색슨민족
AngloSaxonism	영국 사람 기질/앵글로색슨계의 말
Anglomaniac	영국 심취자
Anglophile	친영파사람
Anglophilia	영국 편애/영국 숭배
Anglophobe	반영주의자/영국을싫어하는사람
Anglophobia	공영사상/영국 혐오
Anglophone	영어상용의/영어외에도 공용어가 있는 나라에서 영어사용자
Angola	아프리카남서부의 한공화국
Angora	앙고라고양이
Angostura	앙고스투라껍질
Angus	남자 이름/사랑과 젊음과 아름다움의 신
Anita	여자 이름
Anjou	프랑스 서부의 옛 고령
Ankara	터키의 수도
Annabel	여자 이름
Annam	안남
Annapurna	안나푸르나
Anne	여자이름/영국의 여왕
Annelida	환형 동물문
Annie Oakley	우대권/무료 입장권
Anschluss	결합/합병
Antabuse	술 끊는 약/알코올에 싫증을 나게 하는 약
Antaean	매우 거대한/초인적인 힘을 가진
Antaeus	안타이오스
Antananarivo	안타나나리보
Antarctica	남극대륙
Anthea	여자 이름
Anthony	이집트의 은자/수도원 제도 창시자
Anthozoa	산호충 무리
Antigone	안티고네
Antiope	앤티오프
Antiphlogistine	소염고
Antoinette	앙트아네트/루이 14세의 왕비로서 프랑스혁명 때 처형당함
Antonia	여자 이름
Antonio	남자 이름
Antony	안토니우스/남자 이름
Antoon	남자 이름
Antowerp	벨기에의 주/그 주의 항구 도시
Antrim	앤트림
Anura	무미류
Anzac	앤잭/그 대원
Apache	아파치
Apennine	아펜니노 산맥의
Apennines	아펜니노 산맥
Aphrodite	사랑과 미의여신
Apia	아피아/서사모아의 수도
Apis	아피스/멤피스에서 숭배된 성스러운 소
Apocrypha	위서/경외전/출처가의심스러운
Apollinaris	독일산 광천수의 일종
Apollo	미남/태양/아폴로/아폴로우주선
Apollonian	당당한/아폴로의/고전미를 갖춘
Appalachian	애팔래치아 산맥의
Appalachians	애팔래치아 산맥
Appaloosa	애팔루사종의 승용마
April	4월
Aquarius	보병궁/물병자리
Aquila	독수리자리
Aquinas	이탈리아의 카톨릭교의 신학자
Aquino	아키노
Aquqrian	물병자리의/물병자리 태생의 사람
Arab	아라비아사람/아라비아 사람의
Arabia	아라비아
Arabian	아라비아의/아라비아 사람의
Arabic	아라비아의/아라비아어/아라비아사람의
Arabism	아랍어법/아랍 민족주의
Arabist	아랍학자
Arabize	아랍화하다
Arabsat	아랍 통신 위성
Arachne	아라크네
Arafat	아라파트/팔레스타인 대통령
Aragon	스페인의 북동부 지방
Aragonese	아라곤의/아라곤 사람/아라곤 사람의
Aral Sea	아랄해
Araldite	애럴다이트
Aramaic	아람어
Arawak	아라와크 족/아라와크 말
Arawakan	아라와크 족/아라와크 어족/아라와크 어족의
Arbor Day	식목일
Arcadian	전원의/순박한/목가적인/아르카디아의
Archean	시생대
Archeozoic	시생대
Archibald	고사포
Archimedean	아르키메데스의
Archimedes principle	아르키메데스의 원리
Arctic Ocean	북빙양
Arctic Zone	북극대
Arctik Circle	북극권
Arcturus	대각성
Ardennes	아르덴
Areopagite	아레오파고스의 재판관
Areopagus	아레오파고스/최고 재판소
Ares	아레스/로마신화의 아레스
Arethusa	아레투사
Argie	아르헨티나 사람
Argive	그리스의
Argonaut	그리스신화의 아르고선 승무원
Argonautic	아르고선 일행의
Argos	아르고스
Arguseyed	방심않는/경계하는/눈이 날카로운
Argyrol	상표명/함은액/방부용으로 사용
Arian	아리우스의
Arianism	아리우스 주의
Ariel	아리엘
Aries	백양궁/수양자리
Arine	대형 위성 발사용 로켓/유럽 우주 기관에서 개발
Aristophanes	그리스 희극 작가
Aristophanic	아리스토파네스풍
Aristotelian	아리스토 텔레스의
Aristotle	아리스토텔레스
Arius	아리우스
Arizona	미국 남서부의 주
Arkie	이동 농업 노동자/알칸사스주출신의 방랑농민
Arkwight	아크라이트
Arlington	알링턴
Armageddon	아마겟돈 세계의 종말에 있을 선과 악의 결전장
Armagh	아마
Armenia	아르메니아
Armenian	아르메니아의/아르메니아 말/아르메니아 사람
Arminian	아르미니우스의
Armistice Day	휴전 기념일
Army List	육해군/현역 자교 명부
Army Service Corps	육군 병참단
Arnaut	알바니아 사람
Arno	아르노 강
Arnold	비평가/영국의시인
Artemis	아르테미스/달과 수렵의 여신
Arthropoda	절지 동물문
Arthur	아더/남자이름/고대 영국의 전설적인 왕
Arthurian	아서와의/아서왕 전설
Artiodactyla	우제류
Aryan	아리아족
Ascension Day	예수 승천일
Ascensiontide	승천절
Asclepius	아스클레피오스
Ascot	에티켓경마/영국의 경마장
Asgarde	아스가르드
Ash Wednesday	성회 수요일
Ashanti	아샨티
Asher	아셀/아셀족/남자 이름
Ashkenazi	아시케나지
Ashtoreth	아스다롯
Asia	아시아/아시아주
Asia Minor	소아시아
Asiadollar	아시아 달러
Asian	아시아의/아시아풍의/아시아사람
Asianization	아시아화
Aspasia	아스파샤
Asperges	살수식/살수식의 성가
Assam	아삼
Assamese	아삼 지방의/아삼 사람의
Assyria	아시리아
Assyriology	아시리아학
Astraea	아스트라이아
Astroturf	인공잔디
Astyanax	아스티아낙스
Asuncion	아순시온
Aswan	이집트 남동부의 도시
Atabrine	아타브린
Atalanta	그리스신화에서 걸음이 빠른미녀
Aterian	아테리아 문화
Atest	원폭 실험
Athanasian	아타나시우스의
Athanasius	아리우스교의 반대자
Athelstan	남자 이름
Athena	여자이름
Athene	지혜/예술/여자 이름/전술의 여신/아테네 아테네의 수호신
Atheneum	아테나 신전
Athenian	아테네의
Athens	아테네
Atkins	영국 육군 병사
Atl.	대서양 수송 기선
Atlantean	힘이 센
Atlantic	대서양의
Atlantica	대서양 세계
Atlantis	신의 벌을받아 바다밑으로 가라앉았다는 전설의 대서양섬
Atlas	지도책/아라스/수폭 탄두를 적재한 대륙간 탄도 유도탄
Atomic Bomb Casualties Commission	원폭 상해 조사 위원회
Atomic Energy Commission	원자력 위원회
Atreus	아트레우스
Attcize	아테네식으로 하다/아테네인을 좋아하다
Attic faith	굳은 신의
Attic order	아티카식
Attic salt	기지/점잖은 익살
Attica	고대그리스의 한지방
Atticism	아테네인 애호/아테네 특유의 말/아테네 문학의 특질/간결하고 우아한 표현
Audrey	여자 이름
Aufklarung	계몽/계몽 사조
Augean	왕의/아우게이아스/지극히 불결한
August	8월
Augusta	여자 이름
Augustan Age	문웅 융성시대/아우구스투스 시대
Augustine	성아우구스티누스
Aunt Sally	표적/파이프를 떨어뜨리는 놀이
Aurelia	여자 이름
Aurelius	로마황제/스토아파의철학자
Aureomycin	오레오마이신
Auriga	마차꾼자리
Aurignacian	오리냑 문화
Aurora	서광/오로라
Auschwitz	아우슈비츠
Ausgleich	타협/협정
Aussie	오스트레일리아
Austen	영국의 여류 소설가
Austin	남자 이름/영국제자동차/영국제 소형 자동차의 명칭
Australasia	오스트랄라시아
Australasian	오스트랄라시아의
Australia	호주
Australian	호주의
Australian Rules	18명이 하는 럭비 비슷한 구기
Australianism	오스트레일리아 영어/오스트레일리아 사람의 기질
Australoid	오스트랄로이드
Australorp	오스트랄로프종
Austria	오스트리아
AustriaHumgary	오스트리아헝가리
Austrian	오스트리아의/오스트리아사의사람
Austroasiatic	오스트로아시아 어족의
Austronesia	오스트로네시아
Austronesian	오스토로네시아의/오스트로네시아 어족
Authorized Version	성서
Avernus	에버너스/이탈리아의 나폴리 부근의 호수
Avery	남자 이름
Aves	조류
Avesta	아베스타
Avestan	아베스타 말/아베스타 말의
Avignon	아비뇽
Avon	에이번강/에이번주/영국중부의 강/잉글랜드 남서부의 주
Aweapon	원자병기
Axminster	부드러운 털융단
Aylesbury	에일즈베리
Aylmer	남자 이름
Aymara	아이마라족
Ayrshire	에어셔주/그 주 원산의 젖소
Azania	아자니아
Azerbaijan	독립국 연합의 공화국의 하나
Azilian	아질기/아질 문화의/구석기시대와 신석기시대의 중간
Azores	북대서양의 군도
Azov	아즈라엘
Aztec	아즈텍인
Aztecan	멕시코 원주민
BADGE	기지 방공 지상 경계 조직
BEAM	빔
Baalism	숭배/발신
Baalist	우상숭배자/발신숭배자
Baath	바트당/아랍의 민족주의 정당
Babbitt	주석/납의 합금/배비트 합금
Babbittry	속물취미/속물적인 실업가 기질
Babel	천벌로 인부들이 서로 말이 통하지 않게 되어 완성에 실패
Babelize	혼란에 빠뜨리다
Babylon	바빌론/화려한 도회/타락의 도시
Babylonia	아시아 남서부 고대제국
Babylonian	죄많은/바빌로니아의/바빌로니아 말/바빌로니아 사람
Bacchae	주신 바커스의 시녀들/바커스제 여성 참가자들
Bacchanalia	주신제/통음난무
Bacchanalian	바카스의
Bacchic	만취한/주신 바카스의
Bacchus	바카스/술의 신
Bach	독일의 작곡가
Bacon	수필가/정치가/영국의 철학자
Baconian	베이컨의/베이컨설의 주장자/베이컨의 철학을 신봉하는 사람
BadenBaden	바덴바덴
BadenPowell	베이든포엘
Badger State	미국의 주
Baedeker	여행 안내서
Bagdad	소곡/바가텔/사소한 일/하찮은 것/이락의 수도
Bahaism	바하이교/세계 평화를 창도하는 페르샤에서 일어난 종교
Bahamas	바하마
Bahamian	바하마의/바하마 사람/바하마 사람의
Bahrain	바레인
Baikal	바이칼호
Bakelite	베이클라이트
Balaam	발람/여백 매우는 기사
Balkan	발칸 반도의
Balkanize	소국으로 분열시키다
Baltic	발트해의/발트어파의/발트해 연안 제국의
Baltimore chop	안타
Balzac	프랑스의 소설가
BandAid	미봉책/임시방편/임시방편의/반창고의 일종
Bandung	반둥
Banff	뱀프
Bangladesh	방글라데시
Bangui	방기
Bankside	뱅크사이드
Banquo	뱅쿼
Banthine	밴신
Bantu	반투족의 토인
Bantustan	반투스탄
Baptist church	세례자/침례교회
Baptistic	세례의/침례교회의
Barabbas	바라바
Bararian	바이에른의/바이에른 사람/바이에른 사투리/바이에른 사람의
Barbadian	바르바도스의/바르바도스 사람
Barbados	바르바 도스
Barbara	여자 이름
Barbary	바바리
Barcelona	바르셀로나
Bardolino	바르돌리노주
Barmecidal	가공의/허울뿐인
Barnard	남자 이름
Barney	남자 이름
Barnsley	반즐리
Bartlett	바틀렛종의 배
Baruch	바루크/바루크서
Basel	바젤
Basic	베이식
Basic English	베이식 영어
Basil	남자 이름
Basque	바스크/바스크 사람
Bastille	바스티유 감옥
Batavia	바타비아/네덜란드의 옛 이름/라인강 하구에 있던 옛지역
Bath	온천장/바드 훈의
Bath stome	바드석
Bathinette	유아용 접이식 휴대욕조
Bathsheba	밧세바/여자 이름
Batman	베트맨/장교의 단번병
Batrachia	양서류
Batrachian	양서류
Battersea	배터시
Bauhaus	조형학교
Baume	보메 비중계의
Bavaria	바이에른/바바리아
Bayard	말/구렁말/남자 이름/마력을 가진 말/무용이 뛰어난 믿음직한 신사/바야르 중세 기사의 귀감으로 일컬어진 프랑스인
Bayesian	베이스의
Beantowner	보스턴 시민/보스턴 사람
Beatles	비틀즈
Beatrice	베아트리체
Beau jolais	프랑스산의 빨간포도주
Beaujolais	보졸레
Beaune	적포도주
Becky	여자 이름
Becquerel rays	베크렐선
Bedford cord	코르덴비슷한 두꺼운 천
Bedfore	남자 이름
Bedouin	집시/유랑민/베두인 사람
Beersheba	브엘세바
Beethoven	베토벤
Beguine	베긴회 여자 신자
Beirut	레바논의 수도
Beja	베지족/베자 말/베자족의 사람
Belfast	북아일랜드의 수도
Belgian	벨기에 의/벨기에 사람
Belgic	벨기에 의/고대 벨가에족의
Belgium	벨기에
Belgo	벨기에
Belgrade	벨그라드
Belgravia	런던부근의 상류주택지역
Belial	악마/사탄
Belinda	여자 이름
Belize	벨리즈/항구 도시/1의 옛 수도/중미 카리브해에 면한 나라
Bella	여자 이름
Bellatrix	벨라트릭스
Belshazzar	벨사살
Beltane	벨테인 축제
Bemberg	벰베르크
Ben Nevis	스코틀랜드 서쪽에 있는 산
Benadryl	베나드릴
Benares	베나레스
Benedictine	베네딕트회의/베네딕트회의 수사
Benedictus	라틴어찬송가의 하나
Bengal	벵골/벵골비단
Bengalee	말/벵골의/벵골사람
Bengali	벵골말의/벵골 말/벵골 사람/방글라데시아 사람
Benin	아프리카서부의공화국
Benjamin	막내/귀동이/막내아들/이스라엘12지파의하나
Benjy	남자 이름
Benlate	벤레이트
Benz	벤츠
Beowulf	베어울프
Berber	베르베르 말/베르베르 사람/베르베르 사람의
Berenice	베레니케
Bergson	베르그송
Bergsonian	베르그송 철학/베르그송 철학도
Bergsonism	베르그송 철학
Berkeleian	바클리의/바클리 철학도
Berkeley	바클리
Berkshire	잉글랜드남부의주/버크셔종의 돼지
Berlin	베를린
Berliner	베를린 시민
Berlioz	프랑스의 작곡가
Bermuda	대서양의 영령군도
Bernard	구명견/3인의 프랑스 성자의 이름/스위스의 알프스 산중의 고개의 이름
Bernardine	성베르나르도의/시토회 수도사/베르나르도교단의
Bert	남자 이름
Bertha	여자 이름
Bertie	남자 이름/여자 이름
Bertillon system	베르티용식 범인식별법
Bertram	남자 이름
Bertrand	남자 이름
Berwick	베릭
Bess	여자 이름
Bessie	여자 이름
Betelgeuse	오리온자리중의적색일등성
Beth	여자 이름
Bethany	베다니
Bethlehem	베들레헴
Betsy	여자 이름
Betty	여자 이름
Beulah	쀼라/이사야 62/이스라엘의 빛나는 미래를 상징함
Bharat	바라트말 명칭
Bhutan	인도북동부의왕국
Bhutanese	부탄의/부탄사람/부탄 말
Biafran	비아프라의/비아프라 사람
Biarfra	비아프라
Bible	성전/성서
Biblical	성경의/성경에 관한/성경에서 인용한
Biedermeier	인습적인/판에 박힌/독창성이 없는/비더마이어 양식의
Big Board	뉴욕 증권 거래소
Big Dipper	북두 칠성
Big Science	거대 과학
Bikini	비키니환초/여자 수영복
Bildungsroman	교양소설
Billie	남자 이름
Billiken	빌리켄
Binet Simon test	지네시몽식 지능 검사법
Bircher	버치 당원
Birchism	버치주의/초보수주의/극우 반공주의
Birmingham	영국 중부의 공업 도시
Biro	볼펜의 일종
Bisayan	비사야 족/비사야 말
Biscay	스페인 북쪽 해안과 프랑스 서해안 사이에 있는 큰 만
Bismarck	독일건설을 한 프러시아의 정치가
Bizet	비제
Bizonia	서독의 미영 점령 지구
Black Engish	흑인 영어
Black Forest	독일 서남부의 삼림 지대
Black Friday	불길한 금요일
Black Hand	흑수단/폭력단
Black Maria	죄수 호송차
Black Monday	방학 후의 첫 등교일
Black Muslim	흑백인의 완전 격리를 주장하는 흑인 회교 단체
Black Panther	검은 표범
Black Power	흑인
Black Stream	흑조
Blackcap	나무딸기류/박새의 무리/꾀꼬리의 무리
Blackdamp	질식 가스
Blackfoot	그 언어/블랙푸트족
Blackshirt	검은 셔츠 당원
Blake	영국의 시인작가
Blanche	여자 이름
Blenheim	황금빛 사과/삽살개의 일종
Bloomfield	블룸필드 미국의 언어 학자
Blues	근위기병 제 3연대
Boanerges	마가복음 3/보아너게및 요한에게 붙인 이름
Boanywash	보스니워시
Bobbie	남자 이름
Bobby	여자 이름/남자 이름
Boccaccio	시인
Boeotian	둔흔/느리광이/보에오티아의 사람
Boer	보어 사람
Bofors	2연장 자동 고사포
Bolivia	남미의공화국/부드러운 모직물의 일종
Bolivian	볼리비아의
Bolshevik	다수파/과격파/볼셰비키
Bolsheviki	다수파/과결파의 모체
Bolshevism	과격주의
Bolshevist	과격론/볼셰비키의 일워
Bolshevize	적화 하다/볼셰비키화 하다
Bolshie	좌익의/과격파의/과격주의자/체제에 반항하는
Bombay	봄베이
Bonaparte	보나 파르트
Bonapartist	나폴레옹 1세 지지자
Bonn	서부독일의수도
Bootes	목자자리
Booth	부드
Borazon	보라존/다이아몬드보다 귿은 질화붕소의 결정체
Bordeaux	보르도
Boreas	북풍의신
Bornean	보르네오의/보르네오 말/보르네오 사람
Borneo	보르네오섬
Bosnian	보스니아/보스니아의
Bosporus	보스포러스 해협
Bostonian	보스턴의
Boswellian	보즈웰류의/보즈웰다운/보즈웰 연구자
Botswana	아프리카남부의독립국
Boule	하원/의회
Bourbon	고한 보수가/위스키의 일종/부르봉 왕가의 사람
Bovril	쇠고기 엑스
Bow bells	런던 토박이/그 종소리가 들리는 범위
Box and Cox	동시에는 안 나타나는 두 사람/한 역할을 교대로 하는 두 사람
Brabanconne	벨기에 국가
Bradbury	1 파운드 지폐/10 실링 지폐
Brahma	범천/창조의신
Brahmani	브라만 계급의 여자
Brahmanic	브라만의
Brahmanism	브라만교
Brahmaputra	브라마푸트라강
Brahmin	지식인/인도의 사성중 최고의지성인
Brahminism	인텔리적 정신
Brahms	독일의 작곡가
Braille	브레일식 점자
Braque	프랑스의 화가
Brazil	브라질
Brazilian	브라질의/브라질사람
Brazzaville	브라자빌
Breathalzer	몸속알코올분측정기
Bremen	브레멘
Brenda	여자 이름
Bretagne	브르타뉴
Breton	브르타뉴
Brian	남자 이름
Briard	브리아르
Briareus	손이 100개 있는 거인
Bridget	여자 이름
Bridgetunnel	다리와 터널이 이어지는 도로
Brighton	브라이튼
Briicke	다리파
Brisbane	브리즈번
Bristol	브리스틀
Britain	대브리톤
Britannia	브리타니아/브리타니아상
Britannic	영국의
Britannica	영국에 관한 문헌/영국의과 같이 책명 등에 쓰임
Briticism	영국식 영어
British	영국인의
Briton	영국인/브리튼사람
Broadmoor	브로드무어 수용소
Brobdingnag	거인국
Brobdingnagian	거인/거대한
Bronx	뉴욕시 북부의 독립구의 하나
Bronx cheer	혀를 입술 사이에서 떨어 내는 소리
Bronze Age	청동기 시대
Brooklyn	뉴욕시독립구의하나
Brother Jonathan	미국인
Brother uterine	이부 형제
Brown	남자 이름
Brownism	브라운주의
Bruce	브루스/남자 이름/영국군 격파/스코틀랜드 독립 확보
Bruin	곰
Brummie	버밍엄의/버밍엄 사람
Brunei	모루네이 북서부의 영국 보호령
Bruno	남자 이름
Brunswick	브라운 슈바이크
Bryan	남자 이름
Bryhild	브린힐트
Brythonic	브리손 말/브리손 사람의
Bucchahood	보리/불교의 깨달음의 경지
Bucephalus	승용마
Bucharest	루마니아의수도
Buchmanism	종교 재무장 운동
Buck basket	세탁물 공주
Buckingham Palace	버킹엄궁전
Buckinghamshire	영국의한주
Budapest	부다페스트
Buddha	부처
Buddhism	불교
Buddhist	불교의/불교도
Buddhistic	부처의/불교의
Bujumbura	부줌부라
Bulgaria	불가리아/불가리아의
Bulgarian	불가리아의/불가리아 말/불가리아 사람
Bumiputra	본토인/말레이인
Buna	부나
Bund	연합/친독협회동맹
Bundesrat	상원
Bundestag	하원
Bunny	여자 이름
Bunyan	영국의목사작가
Burberry	바바리코트/바바리 방수포
Burgundy	부르고뉴에서나는붉은포도주
Burma	버마
Burman	버마 사람
Burmese	버마의/버마사람
Burnham scale	공립학교교원봉급기준표
Burns	번스
Burundi	아프리카중앙부의공화국
Buryat	부랴트족/부랴트 말
Butskellism	대립 정당이 같은/정책을 들고 나오는 상황
Buua	부나고무의일종
Byelorussia	백러시아
Byelorussian	백러시아의/백러시아 사람/백러시아 방언/백러시아 사람의
Byrd	버드
Bytonic	바이런식의
Byzantian	화가/복잡한/비잔티움의/권모술수의/비잔티움사람/비잔틴파의 건축가
Byzantine	비잔틴/비잔틴식의
Byzantinesque	비잔틴식의
Byzantinize	비잔틴식으로 하다
C clef	다 음자리표
C note	100달러 지폐
C.B.er	시민라디오의 소유자
C.C.C.P.	소비에트 사회주의 공화국 연방
C.I.D.	수사과/범죄 수사대
CAD/CAM	컴퓨터 원용 설계.제조
CAPTAIN System	캡틴시스템
CD player	콤팩트 디스크 플레이어
CETA	직업훈련 종합계획
CFW mouse	암이 없는 흰 쥐/의학 실험용 동물
CINCEUR	유럽주둔 미군 최고 사령관
CINCLANT	대서양 함대 사령관
CINCPAC	태령양 지구 총사령관
CINCSAC	전략 공군 최고 사령관
COCOM list	대공산권 수출 통제 품목
COLA clause	생계비 조정 조항
COLA freeze	생계비 조정 조항의 동결
COMDEX	콤덱스
COMSAT	콤샛 통신위성
CORE	인종 평등 회의
CP Air	캐나다 태평양 항공
CREEP	대통령 재선 위원회
CRT display	브라운관에 문자.도형을 표시하는 컴퓨터 단말장치
CS gas	최루 가스의 일종
Cabnet minister	각료
Cadette scout	12/14세의 걸스카우트 단원
Cadillac	캐딜락
Cadmean victory	카드모스의 승리
Cadmus	카드모스를 창건한 용사
Caesar	제왕/시저/통치권/독재자/로마황제/제왕절개/카이사르/전제 군주
Caesar salad	샐러드의 일종
Caesarean	황제의/전제론자/카이사로의/전제 군주적인/카이사르당의 사람
